frame,object_type,confidence,tracking_id,x1,y1,x2,y2,license_plate_confidence,mx1,my1,mx2,my2,license_plate_text
149,car,0.17,2,1236,314,1274,343,,,,,,
149,person,0.13,3,241,243,307,461,,,,,,
149,car,0.56,4,1426,322,1510,380,,,,,,
149,bus,0.7,1,1276,250,1392,365,,,,,,
150,car,0.16,2,1236,313,1273,344,,,,,,
150,person,0.8,3,242,242,309,460,,,,,,
150,car,0.58,4,1426,322,1511,381,,,,,,
150,bus,0.72,1,1276,250,1392,365,,,,,,
151,car,0.16,2,1236,313,1272,343,,,,,,
151,person,0.8,3,243,246,316,461,,,,,,
151,car,0.59,4,1426,322,1511,381,,,,,,
151,bus,0.72,1,1275,250,1391,364,,,,,,
152,car,0.14,2,1237,312,1272,343,,,,,,
152,person,0.78,3,244,249,320,461,,,,,,
152,car,0.57,4,1425,323,1509,381,,,,,,
152,bus,0.76,1,1274,250,1389,364,,,,,,
153,car,0.13,2,1236,310,1271,343,,,,,,
153,person,0.8,3,244,251,323,460,,,,,,
153,car,0.56,4,1425,323,1508,381,,,,,,
153,bus,0.81,1,1274,251,1387,364,,,,,,
154,car,0.12,2,1236,309,1271,343,,,,,,
154,person,0.79,3,248,251,325,459,,,,,,
154,car,0.54,4,1425,323,1506,381,,,,,,
154,bus,0.8,1,1274,251,1385,364,,,,,,
155,car,0.11,2,1237,311,1272,343,,,,,,
155,person,0.75,3,251,256,330,459,,,,,,
155,car,0.53,4,1425,323,1505,381,,,,,,
155,bus,0.76,1,1273,251,1384,362,,,,,,
156,person,0.72,3,253,255,331,459,,,,,,
156,car,0.51,4,1425,323,1504,379,,,,,,
156,bus,0.77,1,1272,251,1382,362,,,,,,
157,person,0.8,3,260,253,335,452,,,,,,
157,car,0.54,4,1425,323,1507,378,,,,,,
157,bus,0.75,1,1270,252,1381,362,,,,,,
158,person,0.8,3,266,252,338,450,,,,,,
158,car,0.58,4,1424,323,1510,379,,,,,,
158,bus,0.74,1,1270,252,1379,362,,,,,,
158,car,0.59,5,1378,324,1439,365,,,,,,
159,person,0.79,3,275,246,343,450,,,,,,
159,car,0.56,4,1425,323,1512,378,,,,,,
159,bus,0.7,1,1270,252,1378,362,,,,,,
159,car,0.57,5,1377,324,1444,365,,,,,,
160,person,0.8,3,282,244,350,450,,,,,,
160,car,0.55,4,1425,323,1512,378,,,,,,
160,bus,0.74,1,1270,252,1379,362,,,,,,
160,car,0.56,5,1377,324,1446,366,,,,,,
161,person,0.81,3,289,244,356,451,,,,,,
161,car,0.55,4,1425,323,1512,378,,,,,,
161,bus,0.78,1,1270,252,1379,362,,,,,,
161,car,0.57,5,1378,325,1446,366,,,,,,
162,person,0.79,3,292,250,360,451,,,,,,
162,car,0.54,4,1425,323,1511,378,,,,,,
162,bus,0.77,1,1269,252,1378,361,,,,,,
162,car,0.57,5,1378,324,1448,366,,,,,,
163,person,0.74,3,295,257,366,452,,,,,,
163,car,0.54,4,1425,323,1512,378,,,,,,
163,bus,0.75,1,1269,252,1377,361,,,,,,
163,car,0.56,5,1379,325,1447,365,,,,,,
164,person,0.73,3,298,262,372,451,,,,,,
164,car,0.53,4,1425,323,1512,378,,,,,,
164,bus,0.75,1,1269,252,1375,361,,,,,,
164,car,0.55,5,1379,325,1447,365,,,,,,
165,person,0.8,3,301,265,379,451,,,,,,
165,car,0.56,4,1424,323,1513,378,,,,,,
165,bus,0.78,1,1269,252,1374,361,,,,,,
165,car,0.54,5,1379,325,1447,365,,,,,,
166,person,0.82,3,303,262,383,451,,,,,,
166,car,0.56,4,1425,323,1512,378,,,,,,
166,bus,0.76,1,1267,254,1373,361,,,,,,
166,car,0.55,5,1379,325,1447,365,,,,,,
167,person,0.82,3,305,262,385,451,,,,,,
167,car,0.54,4,1425,323,1510,379,,,,,,
167,bus,0.77,1,1264,254,1371,360,,,,,,
167,car,0.53,5,1379,325,1446,365,,,,,,
168,person,0.84,3,305,261,387,451,,,,,,
168,car,0.54,4,1425,323,1510,380,,,,,,
168,bus,0.78,1,1264,254,1370,359,,,,,,
168,car,0.56,5,1380,325,1445,365,,,,,,
169,person,0.85,3,308,259,388,450,,,,,,
169,car,0.6,4,1425,323,1512,381,,,,,,
169,bus,0.79,1,1262,254,1369,359,,,,,,
169,car,0.57,5,1379,325,1443,365,,,,,,
170,person,0.81,3,312,258,390,450,,,,,,
170,car,0.59,4,1425,323,1513,382,,,,,,
170,bus,0.78,1,1261,254,1368,358,,,,,,
170,car,0.56,5,1380,324,1442,364,,,,,,
171,person,0.78,3,318,257,393,450,,,,,,
171,car,0.6,4,1425,323,1513,382,,,,,,
171,bus,0.77,1,1259,255,1367,358,,,,,,
171,car,0.58,5,1381,324,1441,364,,,,,,
172,person,0.77,3,326,257,395,448,,,,,,
172,car,0.61,4,1425,323,1514,382,,,,,,
172,bus,0.75,1,1258,255,1365,357,,,,,,
172,car,0.57,5,1381,324,1440,364,,,,,,
173,person,0.77,3,332,259,396,447,,,,,,
173,car,0.59,4,1425,323,1514,382,,,,,,
173,bus,0.72,1,1258,256,1364,357,,,,,,
173,car,0.57,5,1382,324,1441,364,,,,,,
174,person,0.8,3,337,257,398,445,,,,,,
174,car,0.59,4,1425,323,1514,382,,,,,,
174,bus,0.71,1,1258,257,1362,357,,,,,,
174,car,0.58,5,1382,324,1441,364,,,,,,
175,person,0.62,3,341,258,401,444,,,,,,
175,car,0.58,4,1425,323,1513,382,,,,,,
175,bus,0.71,1,1258,257,1361,357,,,,,,
175,car,0.57,5,1382,324,1440,364,,,,,,
176,person,0.63,3,343,255,403,444,,,,,,
176,car,0.56,4,1425,323,1513,382,,,,,,
176,bus,0.72,1,1257,257,1360,357,,,,,,
176,car,0.56,5,1382,324,1440,363,,,,,,
177,person,0.59,3,346,261,403,445,,,,,,
177,car,0.57,4,1425,323,1513,382,,,,,,
177,bus,0.7,1,1256,257,1358,358,,,,,,
177,car,0.56,5,1382,324,1440,363,,,,,,
178,person,0.76,3,348,258,409,444,,,,,,
178,car,0.54,4,1426,323,1512,382,,,,,,
178,bus,0.66,1,1256,257,1358,358,,,,,,
178,car,0.56,5,1382,324,1439,363,,,,,,
179,person,0.8,3,348,255,413,444,,,,,,
179,car,0.55,4,1426,323,1512,380,,,,,,
179,bus,0.67,1,1256,257,1357,358,,,,,,
179,car,0.55,5,1382,324,1438,363,,,,,,
179,car,0.62,6,1360,321,1400,357,,,,,,
180,person,0.77,3,350,254,415,444,,,,,,
180,car,0.54,4,1425,323,1511,381,,,,,,
180,bus,0.63,1,1256,257,1356,358,,,,,,
180,car,0.55,5,1382,324,1438,363,,,,,,
